cell,x,y,z,cluster,n_transcripts,density,elongation,area,avg_confidence,avg_assignment_confidence,max_cluster_frac,lifespan
CR0384e620e-79,751.2687649521531,391.85720693779905,18.48459928229665,3,209,6.797,2.848,30.75,0.999,0.8132,0.9760765550239234,50
CR0384e620e-80,787.0290178571429,356.64285714285717,18.870535714285715,4,7,14.07,6.043,0.4976,0.9978,0.8657,0.8571428571428571,50
CR0384e620e-81,739.934837962963,398.9429398148148,20.33159722222222,3,135,11.36,2.09,11.88,0.9993,0.7527,0.9925925925925926,50
CR0384e620e-82,788.060546875,356.2109375,17.2490234375,1,16,3.254,1.974,4.917,0.9922,0.8762,1.0,50
CR0384e620e-83,763.8237645348837,380.7387354651163,17.939316860465116,4,43,4.586,5.218,9.376,0.9991,0.8591,0.6976744186046512,50
CR0384e620e-84,776.5610795454545,366.51014979338845,18.991503099173553,3,605,12.65,1.546,47.81,0.9993,0.8759,0.9669421487603306,50
CR0384e620e-85,781.2914402173913,362.7402950310559,18.29076086956522,3,161,5.268,1.429,30.56,0.9992,0.9101,0.8571428571428571,50
CR0384e620e-86,735.8752976190476,408.81473214285717,18.414583333333333,4,105,2.234,1.283,47.0,0.9857,0.9682,0.8666666666666667,50
CR0384e620e-87,749.5673661800487,396.79900395377126,18.656782238442823,3,411,11.45,1.869,35.9,0.9993,0.7675,0.9610705596107056,50
CR0384e620e-88,761.6981907894736,383.39720394736844,18.06825657894737,3,57,5.942,2.787,9.592,0.9991,0.9011,0.8947368421052632,50
CR0384e620e-89,743.9854504048583,399.3919850708502,18.226942054655872,3,494,9.73,1.793,50.77,0.9993,0.787,0.9939271255060729,50
CR0384e620e-90,740.5108418367347,407.01753826530614,17.023596938775512,3,49,2.583,4.071,18.97,0.9924,0.9155,0.5714285714285714,50
CR0384e620e-91,790.7790178571429,353.51004464285717,17.306175595238095,4,42,1.889,1.237,22.23,0.8972,0.9557,0.6666666666666666,50
CR0384e620e-92,765.9961993243244,376.9438344594595,19.444679054054053,1,37,3.66,6.592,10.11,0.994,0.9059,0.9459459459459459,50
CR0384e620e-93,770.9462652439024,375.5396341463415,17.145198170731707,3,41,3.622,3.876,11.32,0.9981,0.7732,0.975609756097561,50
CR0384e620e-94,765.3465544871794,379.2095352564103,19.30488782051282,3,39,6.494,6.282,6.006,0.9993,0.9215,0.6923076923076923,50
CR0384e620e-95,784.8588541666667,360.8364583333333,18.068229166666665,4,30,6.352,1.352,4.723,0.999,0.7833,0.8,50
CR0384e620e-96,792.0894886363636,357.09232954545456,16.711647727272727,3,11,11.07,3.783,0.9934,0.998,0.8364,0.9090909090909091,50
CR0384e620e-97,767.5088315217391,380.5557065217391,17.535326086956523,3,23,4.233,4.961,5.434,0.9943,0.7643,0.6521739130434783,50
CR0384e620e-98,798.6458333333334,351.3113425925926,17.21122685185185,3,27,4.124,3.15,6.547,0.9975,0.9119,0.8148148148148148,50
CR0384e620e-99,753.347602739726,397.7730094178082,17.53125,3,146,4.469,4.427,32.67,0.9987,0.7134,0.8561643835616438,50
CR0384e620e-100,747.2857921511628,401.74182412790697,19.493640988372093,4,86,2.924,1.954,29.41,0.9992,0.79,0.8372093023255814,50
CR0384e620e-101,747.4017333984375,405.675048828125,18.0521240234375,3,128,2.794,2.866,45.82,0.9932,0.8467,0.515625,50
CR0384e620e-102,727.9790219907408,421.9395978009259,17.126953125,3,216,3.576,3.566,60.41,0.9958,0.9179,0.9166666666666666,50
CR0384e620e-103,774.6467848557693,371.7406550480769,19.110186298076922,3,520,10.67,1.162,48.72,0.9993,0.8659,0.9730769230769231,50
CR0384e620e-104,781.3747799295775,368.80391725352115,17.623459507042252,4,71,3.834,10.1,18.52,0.9989,0.7997,0.9295774647887324,50
CR0384e620e-105,781.2622663551402,373.29731308411215,18.797605140186917,3,107,2.975,2.406,35.97,0.995,0.8103,0.8130841121495327,50
CR0384e620e-106,801.240625,350.91875,16.9796875,2,10,4.209,2.604,2.376,0.9922,0.878,0.9,50
CR0384e620e-107,765.0,386.52549342105266,18.10238486842105,1,38,2.316,1.415,16.41,0.9613,0.95,0.8157894736842105,50
CR0384e620e-108,785.8618639380531,366.9152378318584,17.297981194690266,4,113,3.397,2.356,33.26,0.999,0.8112,0.9292035398230089,50
CR0384e620e-109,782.60375,368.693125,16.93375,3,25,6.96,1.895,3.592,0.9993,0.8256,1.0,50
CR0384e620e-110,784.0582386363636,367.14772727272725,17.082386363636363,3,11,17.97,1.628,0.6122,0.9994,0.8073,1.0,50
CR0384e620e-111,749.8502155172414,409.35991379310343,18.55064655172414,4,29,2.487,2.698,11.66,0.9893,0.7876,0.7241379310344828,50
CR0384e620e-112,744.2684659090909,408.74147727272725,17.193181818181817,4,11,3.837,7.274,2.867,0.9642,0.7636,0.9090909090909091,50
CR0384e620e-113,770.4171875,381.5546875,17.1375,1,10,4.179,4.373,2.393,0.9888,0.836,1.0,50
CR0384e620e-114,757.7872721354166,403.2626953125,18.031575520833332,3,96,2.707,4.911,35.46,0.9935,0.8852,0.53125,50
CR0384e620e-115,789.1689379699249,365.4710996240602,19.328829887218046,3,133,6.942,1.805,19.16,0.9993,0.9105,0.9924812030075187,50
